influent_source,Ammonium mg/l),total_solids,COD mg/l),sludge_volume,temperature
Influent- Septic tank,95.7,0.9,458,2,30.5
Influent- Lined pit latrine,1340,15.1,"5,350",4,30.9
Influent- Lined pit latrine,805.1,18.15,-,40.3,28.3
Influent- unlined pit latrine,176.3,2.8,320,4.5,28.1
Influent- lined pit latrine,47.28,3.7,NA,85,27.1
Septic tank,181.2,1.85,331,1.6,29.8
Septic tank,484,1.4,"7,250",15,28.3
Septic tank,511.3,-,-,NA,29.5
lined-schools,2243,21.1,"2,160",0.8,29.7
lined pit latrine,124.4,5.5,"2,770",200,28
Influent- Lined pit latrine,309,7,"3,360",170,29
Influent- Lined pit latrine,2370,23.7,410,0.8,28.9
Influent- Lined pit latrine,314.2,NA,657,0.6,28.7
Influent- Lined pit latrine,113.3,NA,131,0.7,28.5
lined-schools,195,4.6,959,1.6,30.5
lined pit latrine,472,12,"3,410",10.2,28.9
lined pit latrine,2596,12.2,"3,950",17,30.5
Lined- school,2099,22.1,502,4.1,30.5
Lined- Residential,2266,9.7,"3,430",1,30.1
Lined- Residential,150.1,3.3,NA,60,28.4
Lined- Residential,696,-,"1,060",0.7,29.7
lined-schools,116.7,-,"2,050",0.5,28.6
Lined- WMC,53.18,2,"1,087",10,29.4
